title,text,label
NASA Mars Discovery,NASA confirms discovery of liquid water flowing on Mars today.,REAL
Magic Cure for All,Scientists find a herbal juice that cures every disease in 24 hours.,FAKE
Apple iPhone Release,Apple officially announces the release of the new iPhone 16 model.,REAL
Flying Cars for Sale,Local dealership starts selling flying cars for just 500 dollars.,FAKE
Tokyo Olympics 2021,The Tokyo Olympics were held in 2021 after being delayed a year.,REAL
Gold found on Moon,Astronauts find a city made of solid gold on the dark side of the moon.,FAKE
Global Warming Report,Scientists report that 2023 was one of the hottest years on record.,REAL
Time Travel Machine,A teenager in India built a working time travel machine in his garage.,FAKE
Microsoft Acquisition,Microsoft has officially completed its acquisition of Activision Blizzard.,REAL
Dinosaur Sighted,A live T-Rex was spotted roaming through the streets of New York.,FAKE
WHO Health Update,WHO declares that regular exercise significantly reduces heart risk.,REAL
Moon is Cheese,New satellite images prove the moon is actually made of green cheese.,FAKE
India GDP Growth,India remains one of the fastest growing major economies in the world.,REAL
Talking Dogs,Research shows dogs have started speaking English in small villages.,FAKE
Tesla Gigafactory,Tesla chooses Nevada as the site for its massive new battery factory.,REAL
Alien Peace Treaty,The UN has signed a peace treaty with aliens from the Andromeda galaxy.,FAKE
Vaccination Campaign,Government launches nationwide vaccination drive for seasonal flu.,REAL
Ocean Water Drinkable,Simple pill turns entire ocean water into fresh drinking water instantly.,FAKE
SpaceX Launch,SpaceX successfully launches 60 Starlink satellites into orbit.,REAL
Money Rain in Dubai,Dubai authorities report that money rained from the sky for ten minutes.,FAKE
Amazon Forest Loss,New satellite data shows a decrease in deforestation in the Amazon.,REAL
Invisibility Cloak,A company has started selling invisibility cloaks to the public today.,FAKE
Artificial Intelligence,AI models are now being used to help doctors detect cancer early.,REAL
Zombie Outbreak,Hospitals report first cases of a real-life zombie virus in London.,FAKE
Electric Vehicles,Global sales of electric vehicles have doubled in the last two years.,REAL
Gravity Turns Off,Scientists warn that gravity will turn off for five minutes tomorrow.,FAKE
Olympic Gold Medal,India wins its first ever Olympic gold in athletics in Tokyo.,REAL
Cat Becomes President,A cat has been elected as the new President of a small European country.,FAKE
Standardized Testing,Education boards are reconsidering the impact of standardized exams.,REAL
Internet Shutdown,The entire global internet will be permanently shut down next week.,FAKE
Renewable Energy,Solar and wind energy now account for 20 percent of global power.,REAL
Mermaid Found,Fishermen in the Atlantic Ocean capture a real-life mermaid on video.,FAKE
Stock Market Update,The stock market saw a major recovery following the recent report.,REAL
Free Unlimited Gas,Government announces free unlimited petrol for every citizen forever.,FAKE
Space Station Crew,A new crew of astronauts has arrived at the International Space Station.,REAL
Teleportation Success,Scientists successfully teleported a human being across the country.,FAKE
Cybersecurity Alert,Experts warn about a new malware targeting mobile banking apps.,REAL
Cure for Old Age,A new pill allows humans to live for 500 years without aging.,FAKE
Wildfire Containment,Firefighters have contained 80 percent of the forest fire in California.,REAL
Chocolate Shortage,Chocolate will become extinct by the end of this year due to climate.,FAKE
Mars Rover Data,Perseverance rover sends back high-resolution images of Martian soil.,REAL
Tree Growing Diamonds,Rare trees in the Amazon are now growing diamonds instead of fruit.,FAKE
Digital Currency,Many countries are exploring the creation of central bank digital coins.,REAL
Sun is Cooling,NASA confirms the sun will cool down and turn blue by next month.,FAKE
E-commerce Growth,Online shopping continues to grow as more people use mobile apps.,REAL
Atlantis Found,Explorers find the lost city of Atlantis at the bottom of the lake.,FAKE
Education Reform,New policy aims to provide free coding classes to all rural students.,REAL
Rain of Frogs,Meteorologists predict a rain of frogs over the city this weekend.,FAKE
Work From Home,Many tech companies have adopted a permanent hybrid work model.,REAL
Moon Disappearing,Scientists observe the moon is slowly disappearing from the sky.,FAKE
